12.14.2021 21:50:24:355,TP43357,B,Move,-5,3, 1,1, -3,7,-4,1, 0,5, 0,1
12.14.2021 21:50:25:147,TP43357,A BOT_moral,Ask,-4,6, 1,1, 4,4,-5,1, 1,1, -3,1,B
12.14.2021 21:50:25:147,TP43357,C BOT_moral,Ask,5,3, 1,1, -4,2,-5,1, 1,1, -3,1,B
12.14.2021 21:50:25:595,TP43357,B,EnterTP,-4,9, 1,1, -2,6,
12.14.2021 21:50:25:875,TP43357,B,Move,-4,9, 1,1, -2,4,-0,1, -0,4, 1,9
12.14.2021 21:50:26:289,TP43357,B,Move,-4,6, 1,1, -2,1,0,9, -0,4, 1,2
12.14.2021 21:50:27:102,TP43357,B,Move,-3,9, 1,1, -1,7,3,8, 0,5, 0,5
12.14.2021 21:50:27:329,TP43357,B,Move,-3,6, 1,1, -1,6,3,9, 0,5, 0,6
12.14.2021 21:50:29:369,TP43357,B,Move,-1,7, 1,1, -1,0,0,3, -0,4, 1,5
12.14.2021 21:50:29:970,TP43357,B,Move,-1,3, 1,1, -0,6,1,4, -0,4, -1,1
12.14.2021 21:50:30:129,TP43357,B,exitTP,-1,2, 1,1, -0,5,
12.14.2021 21:50:30:529,TP43357,B,Greet,-0,8, 1,1, -0,6,-4,6, 1,1, 4,4,A BOT_moral
12.14.2021 21:50:31:64,TP43357,B,Move,-0,3, 1,1, -0,7,-3,1, -0,4, -3,5
12.14.2021 21:50:32:170,TP43357,C BOT_moral,EnterTP,5,3, 1,1, -2,6,
12.14.2021 21:50:32:318,TP43357,C BOT_moral,Activated,5,3, 1,1, -2,5,
12.14.2021 21:50:32:318,TP43357,C BOT_moral,Deactivated,5,3, 1,1, -2,5,
12.14.2021 21:50:32:623,TP43357,B,EnterTP,-1,2, 1,1, -1,7,
12.14.2021 21:50:33:131,TP43357,B,Move,-1,6, 1,1, -2,1,-0,1, -0,4, 1,5
12.14.2021 21:50:33:304,TP43357,B,Move,-1,6, 1,1, -2,1,-0,1, -0,4, 1,2
12.14.2021 21:50:34:371,TP43357,B,exitTP,-1,2, 1,1, -1,2,
12.14.2021 21:50:34:452,TP43357,B,Move,-1,2, 1,1, -1,1,0,1, -0,4, 3,5
12.14.2021 21:50:34:785,TP43357,B,Move,-1,1, 1,1, -0,8,0,1, -0,4, 3,0
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
12.14.2021 21:50:36:426,TP43357,A BOT_moral,EnterTP,-4,5, 1,1, 3,3,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
12.14.2021 21:50:36:466,TP43357,B,Move,-0,6, 1,1, 0,9,-4,2, 0,5, 0,1
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
12.14.2021 21:50:36:599,TP43357,A BOT_moral,Activated,-4,5, 1,1, 3,1,
12.14.2021 21:50:36:599,TP43357,A BOT_moral,Deactivated,-4,5, 1,1, 3,1,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
12.14.2021 21:50:36:665,TP43357,B,Move,-0,7, 1,1, 0,9,-4,2, 0,5, 0,1
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
12.14.2021 21:50:37:252,TP43357,B,EnterTP,-1,2, 1,1, 0,8,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
1.1,0.09,-0.9,0.08,1,0.09,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
12.14.2021 21:50:38:961,TP43357,C BOT_moral,Activated,5,2, 1,1, 0,4,
12.14.2021 21:50:38:962,TP43357,C BOT_moral,Deactivated,5,2, 1,1, 0,4,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
12.14.2021 21:50:39:306,TP43357,B,Greet,-2,4, 1,1, 0,1,5,2, 1,1, 0,4,C BOT_moral
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
1,1,-0.9,0.08,0.91,1,
0.76,0.06,-0.72,0.07,0.7,0.06,
12.14.2021 21:50:41:414,TP43357,A BOT_moral,Thank,-4,8, 1,1, 0,8,5,2, 1,1, 0,4,C BOT_moral
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
0.76,0.06,-0.72,0.07,0.7,0.06,
0.7,0.66,-0.72,0.07,0.64,0.66,
