12.14.2021 23:53:22:269,TP93734,C,Move,-5,3, 1,1, -3,7,0,9, -0,4, -0,9
12.14.2021 23:53:24:353,TP93734,C,Greet,-3,5, 1,1, -2,9,5,3, 1,1, -4,2,A BOT_moral
12.14.2021 23:53:25:30,TP93734,C,EnterTP,-2,9, 1,1, -2,6,
12.14.2021 23:53:26:210,TP93734,B BOT_moral,EnterTP,-3,4, 1,1, 3,3,
12.14.2021 23:53:26:446,TP93734,C,Ask,-1,6, 1,1, -2,0,3,9, 1,1, -3,0,A BOT_moral
12.14.2021 23:53:26:808,TP93734,C,exitTP,-1,2, 1,1, -1,9,
12.14.2021 23:53:26:994,TP93734,A BOT_moral,EnterTP,3,5, 1,1, -2,6,
12.14.2021 23:53:29:70,TP93734,B BOT_moral,exitTP,-1,2, 1,1, 1,5,
12.14.2021 23:53:29:279,TP93734,A BOT_moral,Ask,2,6, 1,1, -1,4,-1,0, 1,1, 1,3,B BOT_moral
12.14.2021 23:53:29:281,TP93734,A BOT_moral,Ask,2,6, 1,1, -1,4,-1,0, 1,1, 1,3,B BOT_moral
12.14.2021 23:53:32:320,TP93734,C,Move,0,1, 1,1, -1,3,-4,7, -0,4, 4,3
12.14.2021 23:53:32:806,TP93734,A BOT_moral,exitTP,2,3, 1,1, -0,3,
12.14.2021 23:53:33:529,TP93734,B BOT_moral,EnterTP,2,3, 1,1, 1,9,
12.14.2021 23:53:34:80,TP93734,B BOT_moral,Activated,2,8, 1,1, 1,7,
12.14.2021 23:53:34:80,TP93734,B BOT_moral,Deactivated,2,8, 1,1, 1,7,
12.14.2021 23:53:34:190,TP93734,C,EnterTP,-1,2, 1,1, 0,0,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
12.14.2021 23:53:35:786,TP93734,C,Move,-2,3, 1,1, 1,2,-1,1, -0,4, 5,2
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
12.14.2021 23:53:36:112,TP93734,C,Move,-2,2, 1,1, 1,5,-3,1, 0,5, -0,5
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
12.14.2021 23:53:36:389,TP93734,A BOT_moral,EnterTP,2,3, 1,1, 0,4,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
12.14.2021 23:53:36:543,TP93734,A BOT_moral,Activated,2,4, 1,1, 0,4,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
1.1,0.1,1,1,-0.9,0.1,
1,1,0.91,0.07,-0.9,1,
12.14.2021 23:53:38:396,TP93734,C,Activated,-2,9, 1,1, -0,1,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
12.14.2021 23:53:39:571,TP93734,C,TakeOff,-3,0, 1,1, -0,5,
12.14.2021 23:53:39:589,TP93734,C,exitTP,-14,4, 1,7, -6,1,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
1.1,0.1,1,1,-0.9,0.1,
0.83,0.81,0.83,0.06,-0.72,0.81,
